event_type,timestamp,order_id,time,quantity,wait_time,remaining_parts,machine,item_id,start_time,end_time,processing_time,failure_time,repair_time,downtime,departure_time,products_shipped,delay_time,product_ids,parts_added,new_level
order_arrival,0.15300904309122015,1.0,0.15300904309122015,,,,,,,,,,,,,,,,,
warehouse_get,0.15300904309122015,,0.15300904309122015,1.0,0.0,199.0,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,1.0,0.15300904309122015,0.23634237642455347,0.08333333333333331,,,,,,,,,
machine_failure,0.0,,,,,,Machine A,,,,,0.2532883904273889,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine B,1.0,0.23634237642455347,0.3196757097578868,0.08333333333333331,,,,,,,,,
order_arrival,0.35304794401243256,2.0,0.35304794401243256,,,,,,,,,,,,,,,,,
warehouse_get,0.35304794401243256,,0.35304794401243256,1.0,0.0,198.0,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine C,1.0,0.3196757097578868,0.38634237642455344,0.06666666666666665,,,,,,,,,
order_completed,0.38634237642455344,1.0,0.38634237642455344,,,,,,,,,,,,,,,,,
order_arrival,0.6871411589451397,3.0,0.6871411589451397,,,,,,,,,,,,,,,,,
order_arrival,0.7007840196361247,4.0,0.7007840196361247,,,,,,,,,,,,,,,,,
order_arrival,0.7829909435455983,5.0,0.7829909435455983,,,,,,,,,,,,,,,,,
order_arrival,0.787528470126702,6.0,0.787528470126702,,,,,,,,,,,,,,,,,
order_arrival,0.8245359745206756,7.0,0.8245359745206756,,,,,,,,,,,,,,,,,
order_arrival,0.9301233037005986,8.0,0.9301233037005986,,,,,,,,,,,,,,,,,
order_arrival,0.9341574642526448,9.0,0.9341574642526448,,,,,,,,,,,,,,,,,
order_arrival,0.9674112146271968,10.0,0.9674112146271968,,,,,,,,,,,,,,,,,
order_arrival,1.1248350148105826,11.0,1.1248350148105826,,,,,,,,,,,,,,,,,
order_arrival,1.2429344029469427,12.0,1.2429344029469427,,,,,,,,,,,,,,,,,
order_arrival,1.2802883657919661,13.0,1.2802883657919661,,,,,,,,,,,,,,,,,
order_arrival,1.4137596717372305,14.0,1.4137596717372305,,,,,,,,,,,,,,,,,
order_arrival,1.662420385870695,15.0,1.662420385870695,,,,,,,,,,,,,,,,,
order_arrival,1.6633983811538349,16.0,1.6633983811538349,,,,,,,,,,,,,,,,,
order_arrival,1.9092432604674177,17.0,1.9092432604674177,,,,,,,,,,,,,,,,,
order_arrival,2.0889117516134403,18.0,2.0889117516134403,,,,,,,,,,,,,,,,,
order_arrival,2.1512960145882274,19.0,2.1512960145882274,,,,,,,,,,,,,,,,,
order_arrival,2.176643954801318,20.0,2.176643954801318,,,,,,,,,,,,,,,,,
machine_repair,0.0,,,,,,Machine A,,,,,,2.5116344080245745,2.2583460175971855,,,,,,
machine_processing,0.0,,,,2.1999999999999993,,Machine A,2.0,2.5530479440124316,2.636381277345765,0.08333333333333348,,,,,,,,,
warehouse_get,2.636381277345765,,2.636381277345765,1.0,0.0,197.0,,,,,,,,,,,,,,
order_arrival,2.6493723520670636,21.0,2.6493723520670636,,,,,,,,,,,,,,,,,
order_arrival,2.663972249768057,22.0,2.663972249768057,,,,,,,,,,,,,,,,,
order_arrival,2.679230052517402,23.0,2.679230052517402,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine B,2.0,2.636381277345765,2.7197146106790986,0.08333333333333348,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,3.0,2.636381277345765,2.7197146106790986,0.08333333333333348,,,,,,,,,
warehouse_get,2.7197146106790986,,2.7197146106790986,1.0,0.0,196.0,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine C,2.0,2.7197146106790986,2.7863812773457655,0.06666666666666687,,,,,,,,,
order_completed,2.7863812773457655,2.0,2.7863812773457655,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine B,3.0,2.7197146106790986,2.803047944012432,0.08333333333333348,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,4.0,2.7197146106790986,2.803047944012432,0.08333333333333348,,,,,,,,,
warehouse_get,2.803047944012432,,2.803047944012432,1.0,0.0,195.0,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine C,3.0,2.803047944012432,2.869714610679099,0.06666666666666687,,,,,,,,,
order_completed,2.869714610679099,3.0,2.869714610679099,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine B,4.0,2.803047944012432,2.8863812773457656,0.08333333333333348,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,5.0,2.803047944012432,2.8863812773457656,0.08333333333333348,,,,,,,,,
warehouse_get,2.8863812773457656,,2.8863812773457656,1.0,0.0,194.0,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine C,4.0,2.8863812773457656,2.9530479440124324,0.06666666666666687,,,,,,,,,
order_completed,2.9530479440124324,4.0,2.9530479440124324,,,,,,,,,,,,,,,,,
order_arrival,2.961313113762373,24.0,2.961313113762373,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine B,5.0,2.8863812773457656,2.969714610679099,0.08333333333333348,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine A,6.0,2.8863812773457656,2.969714610679099,0.08333333333333348,,,,,,,,,
warehouse_get,2.969714610679099,,2.969714610679099,1.0,0.0,193.0,,,,,,,,,,,,,,
machine_failure,0.0,,,,,,Machine C,,,,,3.0310342280413627,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine C,5.0,2.969714610679099,3.036381277345766,0.06666666666666687,,,,,,,,,
order_completed,3.036381277345766,5.0,3.036381277345766,,,,,,,,,,,,,,,,,
machine_processing,0.0,,,,0.0,,Machine B,6.0,2.969714610679099,3.0530479440124325,0.08333333333333348,,,,,,,,,
